agent,step,x,y,score
0,0,686.6046142578125,1141.7061767578125,-0.04204834625124931
0,1,688.288818359375,1142.30908203125,-0.04204834625124931
0,2,689.8670654296875,1142.8720703125,-0.04204834625124931
0,3,691.3424072265625,1143.3955078125,-0.04204834625124931
0,4,692.7166748046875,1143.8800048828125,-0.04204834625124931
0,5,693.99169921875,1144.3258056640625,-0.04204834625124931
0,6,695.1692504882812,1144.7335205078125,-0.04204834625124931
0,7,696.251220703125,1145.103271484375,-0.04204834625124931
0,8,697.23974609375,1145.4359130859375,-0.04204834625124931
0,9,698.1363525390625,1145.731689453125,-0.04204834625124931
0,10,698.9429321289062,1145.990966796875,-0.04204834625124931
0,11,699.66162109375,1146.214111328125,-0.04204834625124931
0,12,700.2938232421875,1146.4017333984375,-0.04204834625124931
0,13,700.841796875,1146.5540771484375,-0.04204834625124931
0,14,701.30712890625,1146.6717529296875,-0.04204834625124931
0,15,701.6919555664062,1146.755126953125,-0.04204834625124931
0,16,701.997802734375,1146.8045654296875,-0.04204834625124931
0,17,702.226806640625,1146.8206787109375,-0.04204834625124931
0,18,702.3805541992188,1146.8037109375,-0.04204834625124931
0,19,702.4612426757812,1146.7540283203125,-0.04204834625124931
0,20,702.4705200195312,1146.67236328125,-0.04204834625124931
0,21,702.4102172851562,1146.558837890625,-0.04204834625124931
0,22,702.2821044921875,1146.4140625,-0.04204834625124931
0,23,702.0884399414062,1146.2384033203125,-0.04204834625124931
0,24,701.8306884765625,1146.0323486328125,-0.04204834625124931
0,25,701.5108032226562,1145.7962646484375,-0.04204834625124931
0,26,701.1307983398438,1145.530517578125,-0.04204834625124931
0,27,700.6921997070312,1145.23583984375,-0.04204834625124931
0,28,700.1972045898438,1144.9122314453125,-0.04204834625124931
0,29,699.6467895507812,1144.5601806640625,-0.04204834625124931
1,0,687.7655029296875,1144.413330078125,0.057744089514017105
1,1,689.3741455078125,1144.8486328125,0.057744089514017105
1,2,690.8804321289062,1145.25244140625,0.057744089514017105
1,3,692.2886962890625,1145.6241455078125,0.057744089514017105
1,4,693.6005249023438,1145.964599609375,0.057744089514017105
1,5,694.817626953125,1146.2740478515625,0.057744089514017105
1,6,695.941650390625,1146.5526123046875,0.057744089514017105
1,7,696.9739990234375,1146.8006591796875,0.057744089514017105
1,8,697.9174194335938,1147.018798828125,0.057744089514017105
1,9,698.7728271484375,1147.2071533203125,0.057744089514017105
1,10,699.5418701171875,1147.3658447265625,0.057744089514017105
1,11,700.22705078125,1147.4952392578125,0.057744089514017105
1,12,700.8289794921875,1147.59619140625,0.057744089514017105
1,13,701.3502807617188,1147.668212890625,0.057744089514017105
1,14,701.7921752929688,1147.7120361328125,0.057744089514017105
1,15,702.1566772460938,1147.7281494140625,0.057744089514017105
1,16,702.4451904296875,1147.7164306640625,0.057744089514017105
1,17,702.6598510742188,1147.677734375,0.057744089514017105
1,18,702.8019409179688,1147.6121826171875,0.057744089514017105
1,19,702.8735961914062,1147.51953125,0.057744089514017105
1,20,702.8764038085938,1147.40087890625,0.057744089514017105
